ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
ANF 1165,Q17,1,Anna Flores ,6 Min. Egg
ANF 1171,Q17,1,Anna Flores ,Bring Rosesi 
ANF 1172,Q17,1,Anna Flores ,To Start With 
ANF 1173,Q17,1,Anna Flores ,Cool & White 
ANF 1186,H1,1,Anna Flores ,Heliantype Purple Rose 
ANF 1187,H1,1,Anna Flores ,Heliantype Orange Blue 
ANF 1188,H1,1,Anna Flores ,Heliantype Karmesin Red
ANF 1189,H1,1,Anna Flores ,Heliantype Dark Red 
ANF 1251,I5,1,Anna Flores ,Latte Macchiato II 
ANF 1265,Q17,1,Anna Flores ,Toast 
ANF 1286,I5,1,Anna Flores ,Heliantype Purple Rose 
ANF 1289,I5,1,Anna Flores ,Heliantype Dark Red 
ANF 1365,Q17,1,Anna Flores , Tea Or Coffee
ANF 1465,Q17,1,Anna Flores ,Spotted Vase 
ANF 2001,V1,2,Anna Flores ,Sweetheart 
ANF 2002,V1,1,Anna Flores ,With Love 
ANF 2016,M9,1,Anna Flores ,Take My Heart 
ANF 2018,P1,1,Anna Flores ,Love Is In The Air 
ANF 2022,W10,1,Anna Flores ,Marguerites Forever 
ANF 2027,N10,1,Anna Flores ,Forever And For Always 
ANF 2029,S1,1,Anna Flores ,A Piece Of Sky 
ANF 2030,S1,1,Anna Flores ,Come Back To Me 
ANF 2031,R17,1,Anna Flores ,Lemon & Soda 
ANF 2032,H22,1,Anna Flores ,Citrus 
ANF 2033,H22,1,Anna Flores ,Aqua Minerale 
ANF 2042,V1,1,Anna Flores ,Leaning Tower Of Lisa 
ANF 2134,I5,1,Anna Flores ,For my King
ANF 2135,I5,1,Anna Flores ,For My Queen 
ANF 2136,I5,1,Anna Flores ,My Little Prince
ANF 2137,I5,1,Anna Flores ,My Little Princess
ANF 2145,N10,1,,
ANG 1004,W10,14,Angela Giordani ,Naxos 
ANG 1005,W10,6,Angela Giordani ,Basket I
ANG 1006,W10,27,Angela Giordani ,Basket II 
ANG 1008,W10,3,Angela Giordani ,Bottles In A Basket II
ANG 1305,V1,3,Angela Giordani ,Basket I
ANG 1306,V1,6,Angela Giordani ,Basket II 
ANG 1308,H18,1,Angela Giordani ,Bottles In A Basket II
ANL 1001,M9,2,Anthony  Loy ,2 P.M 
ANL 1004,M9,2,Anthony  Loy ,Half Past Ten
ANL 1005,M9,1,Anthony  Loy ,Early-Morning 
ANL 1006,M9,1,Anthony  Loy ,Good-Bye 
ANL 1008,M9,1,Anthony  Loy , En Vogue 
ANL 1036,M9,1,,
ANL 1045,M9,1,,
ANL 1046,M9,1,,
ANL 1049,M9,1,,
ANO 1101,H22,1,Anne Novak ,Powder Blue Orchid 
ANO 1102,H22,1,Anne Novak , Blue Orchid Stem 
ANS 1001,W11,7,Anne Searle ,Gold Scroll Flower Head 
ANS 1002,W11,3,Anne Searle ,Moroccan Flower Head 
ANS 1101,P1,1,Anne Searle ,Gold Scroll Flower Head 
ANS 1102,P1,1,Anne Searle ,Moroccan Flower Head 
ANT 1003,S2,3,Jolina Anthony ,Michelangelo 's Masterpiece
ANT 1004,S2,3,Jolina Anthony ,Ideas Of Michelangelo 
ANT 1005,N2,3,Jolina Anthony ,Kiss From A Rose 
ANT 1006,N2,3,Jolina Anthony ,A Rose Is Still A Rose 
ANT 1007,S2,3,Jolina Anthony ,Attic Black Vase 
ANT 1008,S2,1,Jolina Anthony ,Greek Vase 
ANT 1109,I5,1,Jolina Anthony ,Ma Chere Rose 
ANT 1110,I5,1,Jolina Anthony ,Beaute Naissante 
ANT 1111,I5,1,Jolina Anthony ,Doux Baiser
ANT 1112,I5,1,Jolina Anthony ,Mon Petit Ange 
AP 120,A23,19, Liesbet Optendrees,Mysterious II
AP 121,A23,19, Liesbet Optendrees,Mysterious III
AP 122,A23,10, Liesbet Optendrees,Prominent I
AP 123,A23,11, Liesbet Optendrees,Prominent II 
AP 128,A22,21, Liesbet Optendrees,Mysterious I 
AP 150,A22,11, Liesbet Optendrees, Personages I
AP 151,A22,7, Liesbet Optendrees, Personages II
AP 285,W32,19,A.Gockel,
AP 286,W32,13,A.Gockel,
AP 35,A21,21,Heleen Vrieesendorp,Alone II
AP 39,A21,20,Heleen Vrieesendorp, A Budding Beauty 
AP 91,A21,15,Hans Paus ,Tress I 
AP 92,A21,18,Hans Paus ,Trees II
APJ 1016,W11,2,Annemarie Peter-Jaumann ,Relaxing Red Rose 
APJ 1017,W11,2,Annemarie Peter-Jaumann ,Resting White Lily 
APJ 1018,W11,2,Annemarie Peter-Jaumann ,Unwinding White Bloom 
APJ 1019,W11,1,Annemarie Peter-Jaumann ,Red Velvet Rose 
APJ 1020,W11,1,Annemarie Peter-Jaumann ,Red Satin Rose 
APJ 1030,W11,2,Annemarie Peter-Jaumann ,Adventure 
APJ 1031,W11,1,Annemarie Peter-Jaumann ,Big Dream
APJ 1034,T1,4,Annemarie Peter-Jaumann ,Mangolia Soulangiana
APJ 1042,M1,2,Annemarie Peter-Jaumann ,Camelia Elegance 
APJ 1043,S2,2,Annemarie Peter-Jaumann ,Camellia Noblessima 
APJ 1044,M1,1,Annemarie Peter-Jaumann ,Yellow Treasure 
APJ 1047,R17,1,Annemarie Peter-Jaumann ,White Poetry 
APJ 1048,R17,1,Annemarie Peter-Jaumann ,White Velvet 
APJ 1052,S2,1,Annemarie Peter-Jaumann ,Orchid 'MARILYN' I
APJ 1053,S2,1,Annemarie Peter-Jaumann ,Orchid 'MARILYN' II
APJ 1054,S2,1,Annemarie Peter-Jaumann ,Green Chrysanthemum
APJ 1055,S2,1,Annemarie Peter-Jaumann ,Olive Chrysanthemum 
APJ 1059,S2,1,Annemarie Peter-Jaumann ,Purple Poppies 
APJ 1060,S2,1,Annemarie Peter-Jaumann ,Purple Clouds  
APJ 1063,S2,1,Annemarie Peter-Jaumann ,Big Orange 
APJ 1065,S2,1,Annemarie Peter-Jaumann ,Orange Hair 
APJ 1104,S2,1,Annemarie Peter-Jaumann ,Gloria Del II
APJ 1132,H1,1,Annemarie Peter-Jaumann ,Papaver Aladin 
APJ 1136,H1,1,Annemarie Peter-Jaumann ,Magnolia Nigra 
APJ 1138,H1,1,Annemarie Peter-Jaumann ,Lilium Grandiosa 
APJ 1142,S2,1,Annemarie Peter-Jaumann ,Camellia Elegance
APJ 1152,P1,1,Annemarie Peter-Jaumann ,"Orchid ""Mailyn"" I"
APJ 1153,P1,1,Annemarie Peter-Jaumann ,"Orchid ""Mailyn"" II"
APJ 1156,O1A,1,Annemarie Peter-Jaumann ,Pink Calla I
APJ 1157,O1A,1,Annemarie Peter-Jaumann ,Pink Calla II
APJ 1158,O1A,1,Annemarie Peter-Jaumann ,Pink Calla III
APJ 1159,P1,1,Annemarie Peter-Jaumann ,Purple Poppies 
APJ 1160,P1,1,Annemarie Peter-Jaumann ,Purple Clouds  
APJ 1161,Q17,1,Annemarie Peter-Jaumann ,Purple Orchid I
APJ 1162,Q17,1,Annemarie Peter-Jaumann ,Purple Orchid II
APJ 1164,P1,1,Annemarie Peter-Jaumann ,Pretty In Pink 
APJ 1165,P1,1,Annemarie Peter-Jaumann ,Orange Hair 
APJ 1237,I5,1,Annemarie Peter-Jaumann ,Lilium Famosa 
APJ 1238,I5,1,Annemarie Peter-Jaumann , Lilium Grandiosa
APJ 1239,I5,1,Annemarie Peter-Jaumann , Anemone Tomentosa 
APJ 1240,I5,1,Annemarie Peter-Jaumann ,Anemone Monta Rose 
APJ 1241,H22,1,Annemarie Peter-Jaumann ,Precious Cherry 
APJ 1263,Q17,1,Annemarie Peter-Jaumann ,Big Orange 
APJ 1264,Q17,1,Annemarie Peter-Jaumann ,Pretty In Pink 
APJ 1265,Q17,1,Annemarie Peter-Jaumann ,Orange Hair 
ARD 1001,N1,3,Arman Dubois ,Two All 
ARD 1002,N1,2,Arman Dubois ,Pottery & More 
ARD 1003,N1,3,Arman Dubois ,The Breakthrough
ARD 1004,N1,4,Arman Dubois , From Nowhere 
ARE 1001,W11,1,Auguste Renoir ,Grande Vaso Di Fiori 
ARN 1,Q28,142,,La Bonne Mere 
ARN 10,Q33,7,,Autumn 
ARN 11,Q33,2,,Winter 
ARN 12,Q33,6,,Spring 
ARN 2,Q29,166,,Le Ferment D' Amour 
ARN 201/1,P16,45,,
ARN 201/2,P16,50,,
ARN 201/3,P16,45,,
ARN 201/4,P16,41,,
ARN 3,Q30,115,,Premiers Joins 
ARN 5,Q31,53,,Noonday 
ARN 6,Q31,62,,Evening 
ARN 7,Q32,60,,Night 
ARN 8,Q32,53,,Morning 
ARN 9,Q33,3,,Summer 
ARTM 850008,P18,9,,
ARTM 850009,P18,5,,
ASL 1011,S1,1,Alicia Sloan ,Passion In Pink 
ASL 1030,V1,K,Alicia Sloan , Bouquet Of Poppies I 
ASL 1031,V1,3,Alicia Sloan , Bouquet Of Poppies II 
ASL 1114,H22,1,Alicia Sloan ,Fresh Lilies 
ASL 1115,H22,1,Alicia Sloan ,Wild Lilies 
ASM 5531,M9,1,Aaron Summers,Spellbound I
ASM 5532,M9,1,Aaron Summers,Spellbound II 
ASM 5545,C2,1,Aaron Summers, Escapade 
ASM 5646,B20,4,Aaron Summers,Escapade 
ASM 6901,N17,2,Aaron Summers, Another Dimension I
ASM 6902,N17,2,Aaron Summers, Another Dimension II
ASTRA 4,S32,35,,
ASTRA 5,S32,35,,
AT 1168,N14,6,Andrea Trivelli,Flora I
AT 1170,N14,3,Andrea Trivelli,Flora II
AT 1217,N14,2,Andrea Trivelli,Callie 
AT 1219,N14,3,Andrea Trivelli,Tulipani Bianchi
AT 1443,N14,9,Andrea Trivelli,Dalie 
AT 1445,N14,5,Andrea Trivelli, Tulipani 
AW 175,B28,12,A.A Gockel ,
AW 178,B28,3,A.A Gockel ,
AW 200,B28,4,A.A Gockel ,
AW 202,B28,20,A.A Gockel ,
AW 203,B28,11,A.A Gockel ,
AW 206,B28,13,A.A Gockel ,
AW 207,B28,10,A.A Gockel ,
AWA 1001,M9,1,Arkadiusz Warminski ,Briliance 
AWA 1002,M9,4,Arkadiusz Warminski ,Brightness
AWA 1008,P1,1,,
AWA 1010,M9,1,Arkadiusz Warminski ,Ray Of Yellow 
AWA 1014,S2,1,Arkadiusz Warminski ,Little Boy 
AWA 1028,M9,4,Arkadiusz Warminski ,Rays Of Rose 
AWA 1029,M9,4,Arkadiusz Warminski ,Rays Of Yellow 
AWA 1032,S2,9,Arkadiusz Warminski ,Defiant Angel 
AWA 1101,H1,1,Arkadiusz Warminski , Brilliance 
AWA 1102,H1,5,Arkadiusz Warminski ,Brightness
AWA 1103,P1,1,Arkadiusz Warminski ,Bright Red Rose 
AWA 1104,P1,1,Arkadiusz Warminski ,Bright Carmesin Rose 
AWA 1105,H22,1,Arkadiusz Warminski ,Elephant Kiss 
AWA 1106,H22,1,Arkadiusz Warminski ,Couple 
AWA 1107,H22,1,Arkadiusz Warminski ,Friends 
AWA 1130,P1,1,Arkadiusz Warminski ,Lovely Spring 
AWA 1131,P1,1,Arkadiusz Warminski ,Shining Spring 
AWA 1205,Q17,1,Arkadiusz Warminski ,Elephant Kiss 
AWA 1206,Q17,1,Arkadiusz Warminski ,Couple 
AWA 1208,Q17,1,Arkadiusz Warminski ,On A Hill
AWA 1214,Q17,1,Arkadiusz Warminski ,Little Boy 
AWA 1215,Q17,1,Arkadiusz Warminski ,Big Mama 
BB 1013,H1,1,Bjorn Baar ,True Love I
BB 1014,H1,1,Bjorn Baar ,True Love II
BB 1015,H1,1,Bjorn Baar ,True Love III
BB 1016,H1,1,Bjorn Baar ,True Love IV 
BB 1017,S2,1,Bjorn Baar ,Blue Blossom I 
BB 1018,S2,1,Bjorn Baar ,Blue Blossom II 
BB 1019,S2,1,Bjorn Baar ,White Blossom I
BB 1020,S2,1,Bjorn Baar ,White Blossom II 
BB 1021,S2,2,Bjorn Baar ,Cappuccino
BB 1022,S2,1,Bjorn Baar ,Café Brasil 
BB 1023,S2,1,Bjorn Baar ,Espresso
BB 1025,V1,1,Bjorn Baar ,Good Morning 
BB 1026,V1,1,Bjorn Baar ,Café Roma 
BB 1027,V1,2,Bjorn Baar ,Venezia
BB 1028,M9,8,Bjorn Baar ,Have A Break
BB 1029,M9,10,Bjorn Baar ,Have A Good Time 
BB 1034,S2,1,Bjorn Baar ,Buon Appetito 
BB 1038,S2,1,Bjorn Baar ,Francesco Is Back 
BB 1040,S2,1,Bjorn Baar ,Come And Get It 
BB 1047,P1,1,Bjorn Baar ,Golden Pears 
BB 1049,P1,1,Bjorn Baar ,Sweet Apricots 
BB 1056,V1,1,Bjorn Baar ,Rigatoni 
BB 1060,P1,1,Bjorn Baar ,A Gift For Mam 
BB 1062,P1,1,Bjorn Baar ,Just A Minute 
BB 1063,S2,1,Bjorn Baar ,In Bavarian 
BB 1064,S2,1,Bjorn Baar ,Uptown Pub 
BB 1065,S2,1,Bjorn Baar ,Dance Time 
BB 1066,S2,1,Bjorn Baar ,After Work 
BB 1067,V1,1,Bjorn Baar ,Ciao 
BB 1068,V1,1,Bjorn Baar ,Amore 
BB 1069,S2,1,Bjorn Baar ,Dolce Vita 
BB 1075,H22,1,Bjorn Baar ,Milan Boulevard 
BB 1076,H22,1,Bjorn Baar ,Copacabana Beach 
BB 1077,H22,1,Bjorn Baar ,Hotel Lounge 
BB 1078,H22,1,Bjorn Baar ,Sunset Beach 
BB 1079,S2,1,Bjorn Baar ,Boat Trip To Messina 
BB 1080,S2,1,Bjorn Baar ,A Night In Paris 
BB 1081,P1,1,Bjorn Baar ,Meet You In Milan 
BB 1082,P1,1,Bjorn Baar ,Dinner In Longueville 
BB 1083,N2,1,Bjorn Baar ,Asian Kitchen
BB 1086,N2,1,Bjorn Baar ,Cucina Italiana 
BB 1117,H22,1,Bjorn Baar ,Blue Blossom I 
BB 1118,H22,1,Bjorn Baar ,Blue Blossom II 
BB 1119,H22,1,Bjorn Baar ,White Blossom I 
BB 1120,H22,1,Bjorn Baar ,White Blossom II 
