ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
31475,U17,3,Leonardo,Leda 
31749,U17,4,Michelangelo,David
30961,U17,4,Raffaello ,Madonna Del Granduca 
31022,U17,8,E. Schiele ,Nuno Di Ragazza
3DL3728,U16,1, Dianne Loumer , Kissing In A NY Night 
3DL3870,U16,1, Dianne Loumer , Boulevard Of Trees
3DL3730,U16,1, Dianne Loumer , A Kiss In The Night 
31192,U16,1, W.Wallis ,Melford Hall 
4458,U16,1, Wizard & Genius , Female Nude Standing I 
31683,U13,1, Paul Gauguin ,Nave Nave Moe
5010,U13,1, Linda Thompson , Classic Grapes II 
P 6016,U13,1,Claude Monet , Zuiderkerk
K7035,U13,1,Tom King , Tete A Tete 
14077,T20,5, Frederic Leighton, Bath Of Psyche
13783,T20,1, Art Nouveau, Girls Picking Flowers 
13491,T20,1, Alphonse Mucha, Le Matin 
13492,T20,1, Alphonse Mucha, Le Jour 
13493,T20,1, Alphonse Mucha, Le Soir
13494,T20,1, Alphonse Mucha, La Nuit 
13779,T20,1,Semenowsky, La Touche Finale 
E 885,T20,4, Claude Monet ,Nympheas 
E 876,T20,3,Vincent van Gogh ,Sonnige Wiese bel Auvers 
E 874,T20,2,Vincent van Gogh ,Der Rote Weingarten 
E 845,T20,5,Vincent van Gogh ,Irises
E 815,T20,3,Vincent van Gogh , Les Iris 
E 727,T20,4,A. Renoir, Le Moulin De La Galette
E 723,T20,3,Michelangelo, La Creazione Di Adamo 
E 706,T20,5,Vincent van Gogh , Peschi In Fiore 
E 683,T20,3,M. Ancher, Two Ladies On The Beach 
E 649,T20,5,C.Monet, Ninfee 
E 648,T20,2,C.Monet, Ninfee 
E 647,T20,1,C.Monet,The Bassin At Argenteuil
E 588,T20,4,C.Monet,Signora In Giardino a Sainte - Adresse
E 479,T20,2,G. Klimt, Malcesine Sul Garda 
E 436,T20,3,Vincent van Gogh , Sunflowers 
E 408,T20,3,C.Monet,Poppies 
E 379,T20,3,Vincent van Gogh , Pavement Café At Night 
E 378,T20,5,Vincent van Gogh , Irises 
E 293,T20,5,Raffaello Sanzio ,Angeli 
E1,T20,5,Leonardo Da Vinci , Cenacolo 
E 363,T20,2, G.Klimt, L'albero Della Vita 
E 475,T20,5, G.Klimt, Giardino Fiorito 
MD 5492,T19,2, Madou, Memories Of Masai Mara 
80001,T19,1, Philip Gendreau , Time Square Illuminated 
80010,T12,4, Philip Gendreau ,Brooklyn Brigde At Night 
50158,T12,5, C.Charlotte, Colori Fioriti 
35011,T11,4, Charly, Riflessione 2
35012,T11,5, Andrea A., Lievitazione 
50110,T12,4, Gianola MT, Campo Di Grano 
33922,T19,1,Giberna ,Laguna 
50177,T12,4, Semenzato, Innamorati A Manhattan 
50112,T12,5, Gianola MT, Prato Di Margherite 
50161,T12,4, C.Charlotte, Macchie Fiorte 
50169,T12,4, Gianola MT, Vasi a Mangolie 
33993,T11,5,A.Del Missier, Sono Papaveri 
50181,T12,5,Takira , Rosso D' Oriente 
33783,T19,1, S.Rubin , Valdarno 
50220,T12,5, Galaso ,Baite In Valvarrone 
33948,T11,4,Giberna ,Caldo Tramonto 
33931,T11,5,Giberna , L' Approdo 
33933,T11,4,Giberna , Acceso Almare 
33981,T11,5,A.Del Missier, E Uva 
50219,T12,5, Galasso , Fontana In Valsassina 
50167,T12,5, Gianola MT,Vasi Bianchi 
83942,T19,1, Semenzato,Margherite 
50170,T12,5, C.Charlotte,Fiori E Prunge Blu 
50180,T12,5, C.Charlotte,Fiori E Limoni Verdi
MK 6246,T16,1, Mike Klung , Slender Friends I
MK 6247,T16,1, Mike Klung , Slender Friends II
CRM 6335,T15,4, Cristina Mavaracchio ,Ballet
2LR3918,T14,1,Luigi Florio,Peasaggio italiano 
2BN4015,T14,1, Pierre Benson , Beautiful Queen II
2BN4014,T14,1, Pierre Benson , Beautiful Queen I
2PIM3760 ,T14,1, Arthur Pima , Moonlight 
2JO2483,T14,1,Joannoo, Word In Motion 
2BN1912,T14,1, Pierre Benson ,Kind Of Magic
2DLR3367,T14,1, Donato Larotonds ,Villaggio Silenzioso
2JO3041,T14,1,Joannoo,Geo II
2JO3927,T14,1,Joannoo, Words For The World
2MD3826,T14,1, Malia Rodrigues , Tree of Peace 
 2AI2655,T14,1, Alessio Aprile,White Tree
80024,T12,3, Philip Gendreau , Brooklyn bridge  And City Skyline 
80016,T12,3, Philip Gendreau ,Times Square New York City At Night 
80007,T12,3, Philip Gendreau , Manhattan Skyline And Brooklyn Bridge 
80001,T12,4, Philip Gendreau , Time Square Illuminated 
50226,T12,4,Galasso, Tramanto Sul Ticino
50190,T12,4,C.Charlotte,Vasi Con Fiori 
50184,T12,5,Takira , Pizzo D'Oriente 
50175,T12,5, Semenzato,Astrazione Floreale II
50174,T12,5, Semenzato,Astrazione Floreale I
50159,T12,5, C.Charlotte,Fiori e Ciliegie Rossie 
50154,T12,4, Gianola MT,Il Fuoco Dei Girasoli  
35013,T11,4, Silvia A. , Satelliti 
35010,T11,4, Charly, Riflessione 1
34055,T11,4, Giberna , Casolari 
34053,T11,4, Giberna , Pini Marittimi
33969,T11,4, Giberna , Tramonto Di Fuoco
33942,T11,3, Semenzato,Margherite 
33937,T11,4, Giberna ,Ca 'Fiorita 
33927,T11,4, Giberna ,In Calabria 
33922,T11,4, Giberna , Laguna 
33912,T11,4, Giberna , Porticciolo
33777,T11,4, A. Moresco, Estate In Versilia
KKO 1020,T9,1, K.Kostolny, Moonrise III
KKO 1018,T9,1, K.Kostolny, Moonrise I
JO 3014,T9,1,Joadoor,Roman Flagon 
JO 3013,T9,1,Joadoor,Greek Vase 
ESP 1064,T8,1,Elizabeth Espin  , Un Air De Paris 
SE 1009,T8,1, Selime , White Attraction 
CA 1074,T7,1, Claudia Ancilotti , Verona 
CA 1073,T7,1, Claudia Ancilotti , Firenze 
AGA 1001,T7,1,Anna Gardner , Galla
YB 1034,T7,1, Yves Blanc , Raffines 
RIW 1036,T5,1, Rian Withaar , Clematis Blooms 
LEW 1076,T3,1,Leon Wells , New York City Liberty
LEW1075,T3,1,Leon Wells ,New York Skyline 
KCD 1005,T3,1, Klaus C. Dietrich , Atmospheric Greenwood
GR 1017,T2,1, Giorgio Rossi , Asia Impressions 
ESP 1076,T2,1,Elizabeth Espin  , Casale Maremma
EK 2042,T2,1, Ewald Klich , White Flash 
ALS 1019,T1,10, Alain Satie , Desert Planet 
MS 33628,S26,36, Lega Silvestro , Passeggiata In Giardino 
31160, S21,4, A. Mantegna ,Putti 
31159,S21,9,Giorgione , La Tempesta 
THD 1102,S17,1, Thomas Davis , Mysterious Eyes 
YB 1081,S15,1,Yves Blanc, Patterns Of Green 
YB 1080,S15,1,Yves Blanc, Green Flower Season 
YB 1079,S15,1,Yves Blanc, Green Flower Pattern 
YB 1076,S15,1,Yves Blanc,Elegance Rouge II
YB 1075,S15,1,Yves Blanc,Elegance Rouge I
TD 1002,S12,8,Traci Di Carlo , Nothing New 
TC 1061,S12,1,Talantbek  Chekirov, King Of Savannah 
TC 1060,S12,1,Talantbek  Chekirov,Savannah 
SFE 1012,S12,1,Sophie Ferre , Le Palmer II 
RW 2023,S11,1, Rosina Watchmeister, Vecchio Mio 
RW 1071,S11,1, Rosina Watchmeister,Massimo Gatto Della Rocca
NP 1001,S11,1, Nick Palmer , Diamond Life 
MAC 1120,S11,1, Mauro Cellini , Land Of My Soul 
LEW 1077,S11,1,Leon Wells , Paris Eiffel Tower 
KK 2119,S9,1,Karsten Kirchner , May Inspiration 
KK 1064,S9,1,Karsten Kirchner , Warm Hearted 
KK 1056,S9,1,Karsten Kirchner ,Monte Albano 
KCD 1010,S9,1,Klaus C. Dietrich , café Cuba
KAR 1002,S9,1, Kerstin Arnold, Our Passion For Chocolate 
JO 2087,S9,1,Joadoor, Vivid Fantases
JLD 1006,S9,1, Jean-Luc Dumas, Tu Me Manques 
JLD 1005,S9,1, Jean-Luc Dumas,Plein D'Espoir
HVE 1020,S7,1,Hanna Vedder, Blue & White I 
GBE 1016,S7,1,Gerard Beauvoir , Un Vase Blanc 
GBE 1015,S7,1,Gerard Beauvoir , Les Vases D'Orchidees
GBE 1014,S7,1,Gerard Beauvoir ,Bol D'Orchidees
BB 1024,S2,1, Bjorn Baar, Tazza Di Café 
ALS 1015,S1,1, Alain Satie ,Cosy
ALS 1014,S1,1, Alain Satie , Naomi 
ALS 1013,S1,1, Alain Satie , Tammy 
ALS 1012,S1,1, Alain Satie , Samantha 
ALE 1002,S1,1,Alexandro Manuel , Country In Motion 
ALE 1001,S1,1,Alexandro Manuel , Fields In Motion 
AK 1002,S1,1, Alie Krouse- Klock , Royal Tulips 
FFR 318,R20,1, Winn Devon, D'Apres Le Maitre 
FFR317,R20,2, Winn Devon,Motherland Child 
MST 1005,R17,3, Maggie Stewart , Classic
7280,N23,20, Cory Silken , Sepia Sails I 
SW 108,N18,1,A.A.Gockel ,
SW 107,N18,1,A.A.Gockel ,
SW 104,N18,1,A.A.Gockel ,
SW 103,N18,1,A.A.Gockel ,
SW 102,N18,1,A.A.Gockel ,
SW 101,N18,1,A.A.Gockel ,
SW 100,N18,1,A.A.Gockel ,
SW 99,N18,1,A.A.Gockel ,
SW 98,N18,1,A.A.Gockel ,
SW 97,N18,1,A.A.Gockel ,
ES 356,N18,1,A.A.Gockel ,
ES 357,N18,1,A.A.Gockel ,
ES 358,N18,1,A.A.Gockel ,
ES 359,N18,1,A.A.Gockel ,
ALB 6900,N17,2, Ally Burke , Lip And Away II
ALB6899,N17,2, Ally Burke , Lip And Away I
LC 4115,N17,1, Lisa Corradini ,  Vasi Bianci Con Calle 
LC 4114,N17,1, Lisa Corradini ,  Vasi Bianci Con Cerbere 
FLA 4764,N16,1,Federico Landi , Tazze Con Capuccino 
FLA 4762,N16,1,Federico Landi ,Capuccino Al Bar
ASM 5536,N16,1,Aaron Summers , Titillate II
AJ 6368,N16,1, Andy James , Colors II
AJ 6367,N16,1, Andy James , Colors I
ASM 5535,N16,1,Aaron Summers , Titillate I
IR 4207,N15,1, Yuki Ross ,Ikebana II
IR 4206,N15,1, Yuki Ross ,Ikebana I
AMA 1127,N14,10,Andre Mazo , Vasi Di Terracotta 
AMA 1125,N14,3,Andre Mazo ,Composizione Di Vasi 
ANF 2028,N10,1,Anna Flores , Send It With Love 
ANF 1045,N10,1,Anna Flores , Flower Memories 
PRE 1014,N8,1,Paula Reed ,Full Of Spring 
LYM 1013,N7,1,Lynne Misiewicz , Pink Poppy Buds 
KAR 1004,N6,1,Kerstin Arnold , My Perfect Break 
KAR 1003,N6,1,Kerstin Arnold , Chocolate Indulgence 
KAK 1029,N6,1, Kate Knight, Taupe Flower Head
KAK 1028,N6,1, Kate Knight, Organic Green Flower Head 
IP 1004,N6,1,Isabel Price , Chocolate Lily On Lime 
IP 1003,N6,1,Isabel Price ,Lime Lily On Chocolate 
ELH 1002,N2,1,Elin Hedstrom, Seeking The Light 
ELH 1001,N2,1,Elin Hedstrom, Reflective Petals 
DES 1021,N2,1, Desing Show , Flowering Green Pansy 
DES 1020,N2,1, Desing Show , Green Pansy Bloom 
DES 1003,N2,1, Desing Show , White Stitch Floral I 
DEH 1028,N2,1, Debbie Haliday , Taupe Flower Burst 
DEH 1027,N2,1, Debbie Haliday ,Cream Flower Burst 
DEH 1026,N2,1, Debbie Haliday , Chocolate Flower Burst 
ALS 1006,N1,1,Alain Satie , Thinking Of You 
ALS 1005,N1,1,Alain Satie ,A Walk On The Beach 
SPO 542,M32,5, Wendy Reeves , Glen Affric 
SPO 374,M32,10, Wendy Reeves ,The Way To The Farm 
YB 1074,M15,1,Yves Blanc, Un Duo Jaune 
YB 1073,M15,1,Yves Blanc,Un Point Jaune 
VW 1037,M15,1,Vivien White , Dancing Leafs 
VW1036,M15,1,Vivien White ,Lucent Leafs  
VDE 1044,M15,1, Valerie Delmas , Mediterranean Evening 
VDE 1043,M15,1, Valerie Delmas ,Paeceful Evening 
VDE 1042,M15,1, Valerie Delmas , En Pleine Floraison 
VDE 1041,M15,1, Valerie Delmas , Ouverture 
TC 1065,M15,1,Talantbek  Chekirov,Morning In Paris 
IKO 1013,M11,10,Ines Kollar , Yellow Meets  Red 
EK 2044,M10,1,Ewald Kuch , Bizzard 
EK 2043,M10,1,Ewald Kuch ,Ice Surface 
EK 2018,M10,1,Ewald Kuch , By The Seaside II
CW 1052,M9,1,Caroline Wenig, Night Mores 
CW 1051,M9,1,Caroline Wenig, Flashing Night 
APJ 1049,M8,1,AnneMarie Peter Jauman ,White Elegance 
APJ 1046,M8,1,AnneMarie Peter Jauman ,Orchid Poetry 
APJ 1045,M8,1,AnneMarie Peter Jauman , Orchid Beauty 
APJ 1036,M8,1,AnneMarie Peter Jauman ,Magnolia Niora 
ANF 2048,M8,1,Anna Flores , Extravaganza 
ALM 1006,M8,1, Alex Murray ,Red Earth 
ALM 1005,M8,1, Alex Murray , Russet Hills
AK 1004,M8,1,Alle Kruse Klock ,Star Bouquet 
AK 1003,M8,1,Alle Kruse Klock ,Red Fireworks 
TC 1029,M7,1,Talantbek  Chekirov, Mind & Body 
KKO 1038,M7,1,K.Kostolny, Midday Sun 
IV 1007,M7,2,Jos Vasterd , Mystic Pottery In Red 
IKO 1015,M6,1,Ines Kollar , Scarlet Ensemble 
AK 1001,M1,1,Alle Kruse Klock ,Royal Garden 
8980,A18,1,Nickel , Pflugender Bauer
3013,A25,8, Abbot Handerson , Winged Figure 
WMC 1,A26,8, John Collier , Priestess Of Deplhi 
WMW 1,A26,8,John W. Warehouse , Circe Invidiosa 
M 325,B30,32, Wiliam Margetson, The Sea Hath Its Pearls
7206,B29,25, Bernhard Gutmann , Lady In Black 
HS 4706,B21,5, Hassan, Horizon D'Afrique 
EW 4159,C8,1,Eric Wauch, Dance 
CSD 6399,D8,1, Chris Donovan , Essential I 
N 374,F14,2,N. Saltarelli,Natura Morta Con Lepre
N 375,F14,4,N. Saltarelli, Natura Morta Con Anatra 
SN 120,F14,8, Blakerhoof, Marina Con Brezza
N 124,F14,10, David Teniers ,Scena D'epoca
SN223,F14,3,Winterhalter , Eugenia E Le Sue Dame 
Z 1318,F12,1, Linda Cock , Vineyard-Provence 
Z 1316,F12,1, Linda Cock , Tuscan House 
Z 1440,F12,1, Aurelia Fronty , Les  Coquelicots 
4280,F12,4,  Kaethe Hoeltzell , Lake & Daffodils 
4282,F12,9,  Kaethe Hoeltzell ,White Rambling Roses 
4103,F12,5,  Kaethe Hoeltzell , Roses By An Old Wall Artist 
4104,F12,2,  Kaethe Hoeltzell ,Garden By The Lake Artist 
4381,F12,2, Florence Arven , Printemps A Mykonos 
4380,F12,2, Florence Arven ,Fleurs Roses A Mykonos 
4379,F12,1, Florence Arven ,Passage Fleur A Mykonos 
4378,F12,1, Florence Arven ,Escalier A Mykonos 
4377,F12,2, Florence Arven ,Coquelicots Et Genets 
Z 1380,F12,1, Louise Kollenbaum , Pressed Flowers III
1920/9130,F12,1, J.Ligozzi," Firenze, Italiana "
Z 1378,F12,2, Louise Kollenbaum , Pressed Flowers I
Z 1379,F12,2, Louise Kollenbaum ,Pressed Flowers II
EF 4015,F12,3, John Faber , Taxi 
4109,F12,4, Henry Silberman , Empire State Building At Night 
4320,F12,1,Rogger-Violet , L'arc De Triomphe
4319,F12,1,Rogger-Violet ,La Tour Eiffel Et Le Veux Trocadero 
4318,F12,1,Rogger-Violet ,Paris Le Cours La Reine 
4113,F12,6, Bedrich Grunzweig ,Human Fly 
1930/11888,F12,1, Robert Fubar , The Months Of The Year 
13229,F12,1, Robert Fubar ,May
13230,F12,1, Robert Fubar ,June 
13231,F12,2, Robert Fubar ,Jule 
13228,F12,1, Robert Fubar ,April 
13227,F12,1, Robert Fubar ,March 
1930/12075,F12,4, Anonymous , A Study Of Nectarines 
1930/12074,F12,1, Anonymous ,A Study Of Greengages And Plums 
1930/11889,F12,1, Robert Fubar ,January  
3434,F12,1,Arti Ricordi ,Design Diagonale 
3433,F12,1,Arti Ricordi ,Design Diagonale 
3437,F12,1,Arti Ricordi ,Zuccbe 
3435,F12,1,Arti Ricordi ,Design Diagonale 
3429,F12,1,Arti Ricordi ,Design Diagonale 
3430,F12,1,Arti Ricordi ,Design Diagonale 
3432,F12,1,Arti Ricordi ,Cocomeri 
3426,F12,1,Arti Ricordi ,Design Diagonale 
3431,F12,1,Arti Ricordi ,Design Diagonale 
3436,F12,1,Arti Ricordi ,Design Diagonale 
Z 1422,F12,5,Pierre Hussenot, A Taste Of France 
Z 1424,F12,3,Pierre Hussenot, A Taste Of Italy 
Z 1446,F12,1,Christine Triebert, Shipston Footpath 
Z 1445,F12,1,Christine Triebert,Road To Kiftsgate  III
19820,F12,2,Jan Kooistra, Endless Love 
4196,F12,1, Heinz Hofer , Le Bouquet 
4397,F12,4,Robert Heitzinger , Cartenblumen 
4335,F12,2,Mimi Selzner, Blumenstrauss I
4336,F12,2,Mimi Selzner, Blumenstrauss II
19921,F12,1, Euripides Kastaris , Adonis Beta 
19919,F12,1, Euripides Kastaris ,Petra Fine 
SPE 281,F12,2,Redofte,Fruits VI 
5031,F12,1,Robin Shirley ,Yellow Tulip Bundle  
5028,F12,1,Robin Shirley ,Blue Hydrangea Bundle
5029,F12,1,Robin Shirley ,White Hudrangea Bundle 
5030,F12,1,Robin Shirley ,White Tulip Bundle 
500-0014,F12,5, R.Holzach ,Der Weg Zu Dir  
500-0015,F12,13, R.Holzach ,The Lether 
500-0003,F12,10,W.Woods , Falling In Love 
500-0002,F12,6,P. Vallerie , Mondgraser
500-0001,F12,8,P. Vallerie , Blauer Mohn 
11999,F12,1,Vincent van Gogh , Vase Avec Iris 
12001,F12,1,Vincent van Gogh ,Les Tournesols
12000,F12,1,Vincent van Gogh ,Les Lauriers Roses 
11998,F12,1,Vincent van Gogh ,Iris New York 
11451,F12,1,Vincent van Gogh , Le Jardin De Daubigny
11534,F12,1,Vincent van Gogh , Nuit Etoilee
11683,F12,1,Vincent van Gogh ,Viellies Fermes Leningrad 
31139,F12,1,W.Kadinsky , Composizione 1936
31138,F12,2,W.Kadinsky ,Composizione X
31761,F9,6,S.Boticelli , Angelo Annunciante 
31753,F9,5,A. Del Sarto , Studio Per La Testa Di S. Giovannino 
31747,F9,8,Michelangelo , David
31755,F9,3,Leonardo, Autoritratto
31144,F9,5,J.Cris, Lowrelieftinded II
31145,F9,1,J.Cris,Modern Dust 
31143,F9,6,J.Cris, Lowrelieftinded I
31146,F9,1,J.Cris,Classic Dust 
31428,F9,1,H.Matisse ,La Tristezza Del Re 
7154,F9,1,Murillo , Angeles Artist 
31482,F9,1,Raffaello ,Disputa Dell' Eucarestia  
31157,F9,1,B.Gozzoli , Corteo Dei Re Magi 
F1000229,F9,1, Adam Perry, L'enfant 
208478,F9,1,Spencer Rowell, L'enfant 
1917/18,F9,1,Die Braut , The Bride 
1917/08,F9,1,Danae , Danae
1895,F9,1, Die Musik I , Music I 
1913,F9,1, Die Jungfrau, The Virgin 
EF 4017,F9,1, John Faber , Box 35
EF 4009,F9,4, John Faber ,Mary Brommer 
500-0012,F9,1, R.Holzach ,Serenade
31397,F9,1,P.Klee, Il Giardino  Den Tempio 
Z 1439,F9,1, Aurelia Fronty , Les Pots De Midi 
Z 1438,F9,2, Aurelia Fronty , Bouquets De Printemps 
Z 1256,F9,2,Clare Sprawson , Primula Auricula 
Z 1254,F9,1,Clare Sprawson , Auricula 
Z 1257,F9,1,Clare Sprawson , Hyacinth & Narcissus 
Z 1255,F9,1,Clare Sprawson ,Primrose 
4256,F9,3, Claude Monet , Au Jardin 
4285,F9,4, Claude Monet , Le Pont A Argenteuil 
4352,F9,1,Vincent van Gogh , La Promenade Le Soir 
4257,F9,1,Vincent van Gogh ,Nuit Etoilee A ST. Remy 
4371,F9,1,Vincent van Gogh ,Les Irises 
13041,F9,1,Vincent van Gogh ,Iris
4453,F9,1,Paul Cezanne, Le Chateau De Medan 
4370,F9,4,Vincent van Gogh ,Vase Avec Irises 
4101,F9,4,Vincent van Gogh ,Vase Avec Irises 
4371,F9,9,Vincent van Gogh , Les Irises
4242,F9,1,Wizard & Genius , L'Important  C'est  La Rose 
14135,F8,9, Jules Cheret , Maquette  D'affiche 
13247,F8,2,Raffaello ,Triomphe De Galattee
14133,F8,6, Jules Cheret ,Danseuse  Au Tambourin 
13210,F8,3,G.H.Gauchois ,Winter 
13209,F8,1,G.H.Gauchois ,Autumn
13208,F8,8,G.H.Gauchois ,Summer
13207,F8,8,G.H.Gauchois ,Spring 
7963,F8,2,Vincent van Gogh ,Premiers  Pas 
7880,F8,3,Vincent van Gogh , Bateaux A Saintes -Maries 
7711,F8,1,Charles Augustus , Cherubs In The Clouds 
7908,F8,2,Vincent van Gogh ,Vase Avec Irises 
SO-70412,F8,8, L.Arrows , Notturno 
SO-70394,F8,2, L.Arrows , Plenilunio
SO-70339,F8,7,F.Neri, Roma 
SO-70338,F8,6,F.Neri, Roma 
SO-70038,F8,5, P.Grossi ,Natura Morta  
SO-70039,F8,7, P.Grossi ,Natura Morta Mappamondo 
SO-70213,F8,7,F.Neri,Natura Morta  
SO-70214,F8,8,F.Neri,Natura Morta  
SO-70340,F8,6,F.Neri," Roma,Colosseo"
SO-70337,F8,8,F.Neri," Venezia ,Piaza San Marco "
SO-70142,F6,8, J.C Marini , A Contre Jour
N 9 ,F6,1,Serie Blanc , Bebe 
N 10,F6,1,Serie Blanc , Bebe 2
N11,F6,2,Serie Blanc , Bebe 3
N12,F6,1,Serie Blanc ,Bebe 4
SO-70193,F6,5,J.Heine , Le Danse Des Heures
SO 7736,F6,1, A.Maugeri, Nudo Di Giovane
SO 70194,F6,6,J.Heine ,Ditirambo 
SO 70489,F6,5,F.Neri,Verso la Planura 
SO 70406,F6,2,F.Neri, Il Naviglio 
SO 7923,F6,4, Katia Saggin , Ciliegio 
SO 70421,F6,4, M. Centilini, Barce Alla Fonda 
SO 70140 ,F6,5, J.C Marini , Les Canards
SO 70431,F6,5, Sampaolo , Sala Biliardo 
SO 7568,F6,4, Nardi, Fiori
N 9 ,F6,1, Serie Geranium ,Jardin 
N10,F6,2, Serie Geranium ,Jany 
Z 1263,F6,1,Clare Sprawson , Flowers 
Z 1259,F6,1,Clare Sprawson ,Herbs
N.432,F6,1, P.Cezanne, Maestri Della Pittura 
31615,F6,1, P.Cezanne,Mele E Biscotti
SO 70278,F5,1,Morgan ,Summer
SO 70279,F5,5,Morgan , Red Fields 
SO 70112,F5,2,F.Neri,Lungo Il Flume
SO 70488,F5,3,F.Neri,La Cascata 
SO-7922,F5,1, M.Marten , Pomerigglo  In Campagna
SO-70343,F5,6, M. Clodovic, Barche 
SO-70344,F5,3, M. Clodovic, Barca Sulla Riva 
SO-70280,F5,7,L.C Marini , Color D'estate 
SO-70429,F5,1, G.Zuppini , Terazzi Sul Mare 
SO-70067,F5,1, G.Zuppini , Piccola Conversazione
N24,F4,1, Serie Lizzi, Lago Di Garda 
N23,F4,1, Serie Lizzi,Lago Maggiope 
SO-70437,F4,3, E.Magno , Costiera Amalfitana
SO-70229,F4,6,L.Allioto , Piccolo Paese Verso Il Mare 
SO-70230,F4,5,L.Allioto , Borgo Sul Mare 
SO 70552,F3,1,Della Valle , La Porta Venice 
SO 70551,F3,6,Della Valle , Angolo Di Cortile 
SO 70342,F3,5, S.Lombardo, Porticciolo 
SO 70341,F3,6, S.Lombardo, Barche Alla Fonda 
SO 70175,F3,11, G.Zuppini , Carruggio 
SO 70112,F3,4,F.Neri,Lungo Il Flume
SO 70110,F3,3,F.Neri, Il Giardino Di Lucy 
SO 70068,F3,8, G.Zuppini , Paese In Collina 
SO 70913,F3,6, Pierre Jean Llado , Promenade Et Fleurs 
SO 7911,F3,6, Pierre Jean Llado ,Symphonie Florale  
SO 7910,F3,5, Pierre Jean Llado ,Le Jardin De Sophie 
SO 70687,F3,4,E. Magno , Borgo In Collina
MAT 015,F2,5, Henri Matisse , Nu Assis 
MAT 100,F2,8, Henri Matisse ,Nu
MAT 099,F2,2, Henri Matisse ,Dessin
MAT 016,F2,1, Henri Matisse , Femme A La  Blouse 
PIC 115,F2,1,P.Picasso ,Francoise  en Forme De Soleil
PIC 018,F2,4,P.Picasso ,Atelier Du Sculpteur
PIC 017,F2,4,P.Picasso ,Deux Sculpteurs Devant  Une Statue  
MOD 055,F2,2, A.Modigliani,Nudo Femminile
MOD 054,F2,3, A.Modigliani, Nudo Femminile Seduto 
SCH 005,F2,2, Egon Schiele, Liegende 
SCH 044,F2,1, Egon Schiele, Female Nude 
SCH 006,F2,8, Egon Schiele,Madchen Mit Hut 
KLI 052,F2,1,G.Klimt, Donna Sdraiata 
31788,F2,1,Leonardo  ,Busto Di Giovane Donna 
31755,F2,1,Leonardo  , Autoritrato
11274,G1,3, F.Mistral , Paesaggio
13840,G1,1,Joan Miro , Tete I
1500/10706,G1,1,Michele Cascella , Inverno 
8395,G1,31,H.Matisse , Nu Bleu II
14227,G1,3, C.F.Sellier, Two Angels 
11694,G1,3,Michele Cascella , Prmavera Abruzesse 
13581,G1,3, Mario Acuna , Entry To Cartagena Bay 
13580,G1,3, Mario Acuna ,Carribean Carnival 
13102,G1,2, Louis Toffoli , Groupe De Trois Femmes 
14411,G1,1, A.W.Bouguereau, L'eveil Du Coeur
14229,G1,2,Alma -Tadema, A Greek Woman 
1500/11333,G1,1,Salvator Dali, Afgan Invisible 
13203,G1,1,Salvator Dali,Port Lligat Madonna 
13532,G1,1,Salvator Dali,Sans Titre 
14394,G1,1, A. Renoir , Le Dejeneur Des Cannotiers 
14070,G1,1,Gustav Klimt ,Wasserchlangen II
14034,G1,8,Gustav Klimt ,Die Musik 1895
1500/11331,G1,4, Marc Chagali , Les Amoureux De Vence 
14071,G1,1, Vincent Van Gogh ,Vase De Fleurs 
1500/12015,G1,1, Vincent Van Gogh , View Of Arles With Irises 
13197,G1,2, Pablo Picaso, Nu A La Terrasse 
13023,G1,4, Pablo Picaso, L'Enfant  Au Pigeon 
13871,G1,3, Pablo Picaso, Colombie Avec Fleurs 
31430,G3,2,H.Matisse ,  Nudo Blu II 
31068,G3,17,W.Kadinsky , Verso Il Blu 
31438,G3,1,W.Kadinsky , Struttura Angolare 
33080,G3,2,W.Kadinsky ,Fraicher Sombre
33081,G3,1,W.Kadinsky ,Diagonale 
33160,G3,1,C.Monet,Branche De Citronnier 
33376,G3,1,Giardino , Casette A Creta 
31443,G3,9,Bonani -Sottili ,Rilievo  Fontana Del Carciofo
31282,G3,1, Raffaello ,Trionfo Di Galatea 
31289,G3,8,Chirlandaio , L'Ultima Cena 
31591,G3,5, Amedeo Modigliani ,Nudo Disteso 
31587,G3,4, Henri Rousseau ,Giungla Con Bufalo Assalto Da Una Tigre 
31598,G3,3,C.Monet, Colazione Sull Erba 
31597,G3,2,C.Monet,Signora In Giardino a Sainte - Adresse
31596,G3,5,C.Monet,Il Ponte Della Ferrovia Ad Argenteuil 
31326,G3,4,Wassily Kandinsky , Accordo Reciproco
31573,G3,1,Paul Klee, In Giardino 
33184,G3,3,Paul Klee, Der Fisch Im Hafen 
31585,G3,1,H.Matisse , La Musica 
31584,G3,3,H.Matisse ,La Danza 
31285,G3,7, J.A Dominque Ingres, La Grande Odalisca
31497,G3,2, Raffaello , Sposalizio Della Vergine 
31092,G3,2,C.Monet, Ninfee 
31120,G3,2,C.Monet,Terrazza  A Sainte-Adresse 
31119,G3,12,W.Kadinsky , Succesione 
31429,G3,1,H.Matisse ,Nudo Blu I 
31435,G3,4,H.Matisse ,La Gebre 
31427,G3,1,H.Matisse ,La Tristezza Del Re 
31328,G3,1,W.Kadinsky ,La Grande  Torre Di Kiev 
