reference,quantity,image_url
2222-9383,200,https://pg-plaisio.gr/img/p/1/8/6/2/9/18629.jpg
2222-9387,200,https://pg-plaisio.gr/img/p/1/8/6/2/6/18626.jpg
2225-1,100,https://pg-plaisio.gr/img/p/2/5/3/9/6/25396.jpg
2240-100,99,https://pg-plaisio.gr/img/p/2/5/3/7/8/25378.jpg
2240-90,100,https://pg-plaisio.gr/img/p/2/5/3/9/0/25390.jpg
2240-91,100,https://pg-plaisio.gr/img/p/2/5/3/8/4/25384.jpg
2319-01,189,https://pg-plaisio.gr/img/p/4/3/8/4//4384.jpg
2319-15,195,https://pg-plaisio.gr/img/p/4/3/8/1//4381.jpg
2322-671,100,https://pg-plaisio.gr/img/p/2/5/3/7/2/25372.jpg
2322-674,100,https://pg-plaisio.gr/img/p/2/5/3/6/3/25363.jpg
2322-681,100,https://pg-plaisio.gr/img/p/2/5/3/5/4/25354.jpg
237-117,100,https://pg-plaisio.gr/img/p/2/6/2/3/8/26238.jpg
2513-1,100,https://pg-plaisio.gr/img/p/2/5/3/4/8/25348.jpg
2513-2,100,https://pg-plaisio.gr/img/p/2/5/3/4/2/25342.jpg
2516-17,100,https://pg-plaisio.gr/img/p/2/5/3/3/6/25336.jpg
2516-33,100,https://pg-plaisio.gr/img/p/2/5/3/3/0/25330.jpg
2516-37,99,https://pg-plaisio.gr/img/p/2/5/3/2/4/25324.jpg
2516-43,100,https://pg-plaisio.gr/img/p/2/5/3/1/8/25318.jpg
2520-101,200,https://pg-plaisio.gr/img/p/1/8/6/2/3/18623.jpg
2520-105,198,https://pg-plaisio.gr/img/p/1/8/6/2/0/18620.jpg
2650-100,100,https://pg-plaisio.gr/img/p/2/5/3/0/0/25300.jpg
2650-90,100,https://pg-plaisio.gr/img/p/2/5/3/1/2/25312.jpg
2650-91,100,https://pg-plaisio.gr/img/p/2/5/3/0/6/25306.jpg
265-75,100,https://pg-plaisio.gr/img/p/2/6/2/3/2/26232.jpg
2716-01,195,https://pg-plaisio.gr/img/p/4/3/7/8//4378.jpg
2716-02,196,https://pg-plaisio.gr/img/p/4/3/7/5//4375.jpg
2716-07,171,https://pg-plaisio.gr/img/p/2/0/0/3/2/20032.jpg
2716-23,198,https://pg-plaisio.gr/img/p/4/3/7/2//4372.jpg
2716-84,197,https://pg-plaisio.gr/img/p/2/0/0/2/6/20026.jpg
2716-87,199,https://pg-plaisio.gr/img/p/4/3/6/9//4369.jpg
2716-88,195,https://pg-plaisio.gr/img/p/2/0/0/2/0/20020.jpg
2815-02,200,https://pg-plaisio.gr/img/p/4/3/6/6//4366.jpg
2815-21,200,https://pg-plaisio.gr/img/p/4/3/6/3//4363.jpg
2815-23,200,https://pg-plaisio.gr/img/p/4/3/6/2//4362.jpg
2816-01,197,https://pg-plaisio.gr/img/p/4/3/5/7//4357.jpg
2816-15,197,https://pg-plaisio.gr/img/p/4/3/5/4//4354.jpg
2820-11,199,https://pg-plaisio.gr/img/p/2/5/2/9/4/25294.jpg
2820-12,100,https://pg-plaisio.gr/img/p/2/5/2/8/8/25288.jpg
287-315,100,https://pg-plaisio.gr/img/p/2/6/2/2/6/26226.jpg
287-317,100,https://pg-plaisio.gr/img/p/2/6/2/2/0/26220.jpg
287-318,100,https://pg-plaisio.gr/img/p/2/6/2/1/4/26214.jpg
287-319,100,https://pg-plaisio.gr/img/p/2/6/2/0/8/26208.jpg
295-382,100,https://pg-plaisio.gr/img/p/2/6/2/0/2/26202.jpg
295-384,100,https://pg-plaisio.gr/img/p/2/6/1/9/6/26196.jpg
300-084,100,https://pg-plaisio.gr/img/p/2/6/1/9/0/26190.jpg
3013-1,100,https://pg-plaisio.gr/img/p/2/5/2/5/8/25258.jpg
3013-3,99,https://pg-plaisio.gr/img/p/2/5/2/7/0/25270.jpg
3013-4,100,https://pg-plaisio.gr/img/p/2/5/2/7/6/25276.jpg
3013-7,100,https://pg-plaisio.gr/img/p/2/5/2/6/4/25264.jpg
3013-8,100,https://pg-plaisio.gr/img/p/2/5/2/8/2/25282.jpg
3020-214,100,https://pg-plaisio.gr/img/p/2/5/2/5/2/25252.jpg
3026-052,200,https://pg-plaisio.gr/img/p/1/8/6/1/8/18618.jpg
