reference,legend,image_url,quantity
1AP4535,Arlo Wren Photos - The Wilderness (detail),https://pg-plaisio.gr/img/p/6/9/5/5//6955.jpg,0
1AP5069,Julian Lauren - Winged Beauty  1,https://pg-plaisio.gr/img/p/1/7/6/9/4/17694.jpg,0
1AP5070,Julian Lauren - Winged Beauty 2,https://pg-plaisio.gr/img/p/1/7/6/9/0/17690.jpg,0
1AR4820,Asia Rivieri - Colors of Nature (detail I),https://pg-plaisio.gr/img/p/5/1/4/5//5145.jpg,0
1AR4821,Asia Rivieri - Colors of Nature (detail II),https://pg-plaisio.gr/img/p/5/1/4/9//5149.jpg,0
1AR4822,Asia Rivieri - Rumble in the Jungle,https://pg-plaisio.gr/img/p/5/1/5/3//5153.jpg,0
1AR4823,Asia Rivieri - Rumble in the Jungle II,https://pg-plaisio.gr/img/p/5/1/5/7//5157.jpg,0
1AR4824,Asia Rivieri - Underwater I,https://pg-plaisio.gr/img/p/5/1/6/1//5161.jpg,0
1AR4825,Asia Rivieri - Underwater II,https://pg-plaisio.gr/img/p/5/1/6/6//5166.jpg,0
1ARM4140,Arturo Armenti - Costellazioni,https://pg-plaisio.gr/img/p/6/9/5/9//6959.jpg,130
1ARM4141,Arturo Armenti - Geosfera,https://pg-plaisio.gr/img/p/6/9/6/3//6963.jpg,0
1ARM4142,Arturo Armenti - Orbite stellari,https://pg-plaisio.gr/img/p/6/9/6/7//6967.jpg,130
1ARM4143,Arturo Armenti - Quadranti e traiettorie,https://pg-plaisio.gr/img/p/6/9/7/1//6971.jpg,0
1ARM4385,Arturo Armenti - Canone,https://pg-plaisio.gr/img/p/6/9/7/5//6975.jpg,130
1ARM4386,Arturo Armenti - Proporzione,https://pg-plaisio.gr/img/p/6/9/7/9//6979.jpg,130
1ARM4548,Arturo Armenti - Orbitale I,https://pg-plaisio.gr/img/p/5/1/7/0//5170.jpg,130
1ARM4549,Arturo Armenti - Orbitale II,https://pg-plaisio.gr/img/p/5/1/7/4//5174.jpg,0
1ARM4550,Arturo Armenti - Costellazioni I,https://pg-plaisio.gr/img/p/5/1/8/0//5180.jpg,0
1ARM4551,Arturo Armenti - Costellazioni II,https://pg-plaisio.gr/img/p/5/1/8/4//5184.jpg,0
1ARM5463,Arturo Armenti - Galassia no 1,https://pg-plaisio.gr/img/p/2/3/4/6/3/23463.jpg,0
1ARM5464,Arturo Armenti - Galassia no 2,https://pg-plaisio.gr/img/p/2/3/4/5/9/23459.jpg,0
1ARM5465,Arturo Armenti - Galassia no 3 (Rosso),https://pg-plaisio.gr/img/p/2/3/6/4/0/23640.jpg,130
1ARM5466,Arturo Armenti - Galassia no 4 (Rosso),https://pg-plaisio.gr/img/p/2/3/6/3/6/23636.jpg,130
1AT5750,Andrea Antinori - Orchids on a Golden Background I,https://pg-plaisio.gr/img/p/2/3/4/5/5/23455.jpg,0
1AT5751,Andrea Antinori - Orchids on a Golden Background II,https://pg-plaisio.gr/img/p/2/3/4/5/1/23451.jpg,0
1AT5752,Andrea Antinori - Orchids on Grey Background I,https://pg-plaisio.gr/img/p/2/3/4/4/7/23447.jpg,0
1AT5753,Andrea Antinori - Orchids on Grey Background II,https://pg-plaisio.gr/img/p/2/3/4/4/3/23443.jpg,0
1AU2810,Anne Munson - Desert Breeze,https://pg-plaisio.gr/img/p/1/3/8/3/1/13831.jpg,0
1AU2811,Anne Munson - Desert Sun,https://pg-plaisio.gr/img/p/1/3/8/2/7/13827.jpg,0
1AU3493,Anne Munson - Lullaby on the Beach,https://pg-plaisio.gr/img/p/1/3/8/2/3/13823.jpg,0
1AU3494,Anne Munson - Lullaby to the Sun,https://pg-plaisio.gr/img/p/1/3/8/1/9/13819.jpg,0
1AU3776,Anne Munson - Colors Royale I,https://pg-plaisio.gr/img/p/1/0/3/4/2/10342.jpg,0
1AU3777,Anne Munson - Colors Royale II,https://pg-plaisio.gr/img/p/1/0/3/3/8/10338.jpg,0
1AU4423,Anne Munson - Comfort Zone I,https://pg-plaisio.gr/img/p/6/9/8/3//6983.jpg,0
1AU4424,Anne Munson - Comfort Zone II,https://pg-plaisio.gr/img/p/6/9/8/7//6987.jpg,0
1AU4425,Anne Munson - Comfort Zone III,https://pg-plaisio.gr/img/p/6/9/9/1//6991.jpg,0
1AU4426,Anne Munson - Blink I,https://pg-plaisio.gr/img/p/6/9/9/5//6995.jpg,0
1AU4427,Anne Munson - Blink II,https://pg-plaisio.gr/img/p/6/9/9/9//6999.jpg,0
1AU4428,Anne Munson - Acte I,https://pg-plaisio.gr/img/p/7/0/0/3//7003.jpg,0
1AU4429,Anne Munson - Acte II,https://pg-plaisio.gr/img/p/7/0/0/7//7007.jpg,0
1AU4572,Anne Munson - Bel Air 1,https://pg-plaisio.gr/img/p/5/1/8/8//5188.jpg,0
1AU4573,Anne Munson - Bel Air 2,https://pg-plaisio.gr/img/p/5/1/9/2//5192.jpg,0
1AU5105,Anne Munson - Quiet Interval I,https://pg-plaisio.gr/img/p/1/7/7/7/5/17775.jpg,0
1AU5106,Anne Munson - Quiet Interval II,https://pg-plaisio.gr/img/p/1/7/7/7/1/17771.jpg,0
1AU5107,Anne Munson - Paused Event I,https://pg-plaisio.gr/img/p/1/7/7/6/7/17767.jpg,0
1AU5108,Anne Munson - Paused Event II,https://pg-plaisio.gr/img/p/1/7/7/6/3/17763.jpg,0
1AU5272,Anne Munson - A Dreamer...,https://pg-plaisio.gr/img/p/1/9/9/4/8/19948.jpg,130
1AU5273,Anne Munson - Be Yourself,https://pg-plaisio.gr/img/p/1/9/9/4/4/19944.jpg,130
1AU5763,Anne Munson - White Choreography I,https://pg-plaisio.gr/img/p/2/3/4/3/9/23439.jpg,130
1AU5764,Anne Munson - White Choreography II,https://pg-plaisio.gr/img/p/2/3/6/3/2/23632.jpg,130
1AU6206,Anne Munson - Soul I,https://pg-plaisio.gr/img/p/2/3/6/2/8/23628.jpg,0
